number,customer,description,price,deadline,country,url_addr,created_at,updated_at
2019-724219,Барановичский центр повышения квалификации РРиС,"Текущий ремонт учебной аудитории № 13 учебного корпуса, расположенного по адресу: ул. Комсомольская, 27, г. Барановичи",16 906,2019-06-28,BLR,http://www.icetrade.by/tenders/all/view/724219,,
2019-724012,НЕСВИЖСКАЯ ЦРБ,Закупка двери рентгенозащитной,0,2019-06-27,BLR,http://www.icetrade.by/tenders/all/view/724012,,
2019-723607,"УП ""УКС МИНГОРИСПОЛКОМА""","Выбор генеральной подрядной организации по объекту строительства ""Микрорайон ""Лошица - 8.1"". Жилой дом №2 по генплану""",10 022 119,2019-06-24,BLR,http://www.icetrade.by/tenders/all/view/723607,,
2019-724325,"Отдел идеологической работы, культуры и по делам молодежи Несвижского районного исполнительного комитета",Закупка услуг по изготовлению (пошиву) сценических костюмов,10 000,2019-07-05,BLR,http://www.icetrade.by/tenders/all/view/724325,,
2019-723707,"ОАО ""Трест Шахтоспецстрой""",Закупка стеновых панелей,47 005.12,2019-06-27,BLR,http://www.icetrade.by/tenders/all/view/723707,,
2019-724429,"РУП ""БЕЛМЕДПРЕПАРАТЫ""","Закупка вспомогательного сырья ""Парафин мягкий, белый (вазелин белый)"" (конкурс № ЦК 2019-09)",56 100,2019-07-10,BLR,http://www.icetrade.by/tenders/all/view/724429,,
2019-724104,Отдел по образованию Городокского районного исполнительного комитета,"Выбор подрядной организации для выполнения строительно-ремонтных работ : Текущий ремонт здания ГУО ""Езерищенская школа""(класс, гардероб, лестница, кухня)",72 000,2019-07-04,BLR,http://www.icetrade.by/tenders/all/view/724104,,
2019-723808,Отдел по образованию Ивацевичского райисполкома,закупка аскорбиновой кислоты для отдела по образованию Ивацевичского райисполкома,3 600,2019-06-27,BLR,http://www.icetrade.by/tenders/all/view/723808,,
2019-723911,"Государственное предприятие ""УКС Браславского района""",Выбор генподрядчика на выполнение работ по разработке проектной документации,82 454.03,2019-07-19,BLR,http://www.icetrade.by/tenders/all/view/723911,,
2019-724218,"Государственное предприятие ""УКС Березинского района""","Выбор подрядчика для строительства «под ключ» объекта: ""Производственные очистные сооружения на основе аэробных технологий для ОАО ""Здравушка-милк"" по адресу: г.Березино, ул.М.Романович, д.36""",9 500 000,2019-07-08,BLR,http://www.icetrade.by/tenders/all/view/724218,,
2019-724011,ДЮСШ Шкловского района,ЗАКУПКА СНЕГОХОДА STELS МОРОЗ 600,9 020,2019-07-04,BLR,http://www.icetrade.by/tenders/all/view/724011,,
2019-723606,"ОАО ""Беловежский""",«запасных частей на доильную установку карусельного типа DeLaval PIAR3100 и линейную доильную установку Del PRO»,0,2019-06-25,BLR,http://www.icetrade.by/tenders/all/view/723606,,
2019-724324,"Государственное предприятие ""ЖРЭУ г. Пинска""","Услуги по техническому обслуживанию, проверке и прочистке вентиляционных каналов жилых домов",640,2019-06-25,BLR,http://www.icetrade.by/tenders/all/view/724324,,
2019-723706,"ОАО ""БЕЛАЗ"" - управляющая компания холдинга ""БЕЛАЗ-ХОЛДИНГ""",Закупка установки для контроля динамометрических ключей,55 000,2019-07-04,BLR,http://www.icetrade.by/tenders/all/view/723706,,
2019-724428,"Государственное предприятие ""Кондитерская фабрика ""Витьба""",Закупка развертки пачек из картона с цветной печатью,40 000,2019-06-25,BLR,http://www.icetrade.by/tenders/all/view/724428,,
2019-724103,"КУП ""УПРАВЛЕНИЕ КАПИТАЛЬНОГО СТРОИТЕЛЬСТВА МИНОБЛИСПОЛКОМА""",Закупка Компьтеров и оргтехники,830,2019-06-27,BLR,http://www.icetrade.by/tenders/all/view/724103,,
2019-723807,БНТУ,Текущий ремонт фасада здания общежития» филиала БНТУ «МГПК»,19 000,2019-06-27,BLR,http://www.icetrade.by/tenders/all/view/723807,,
2019-723910,"Государственное учреждение ""Республиканский научно-практический центр радиационной медицины и экологии человека""",Расходные материалы для компьютерной и орг. техники,0,2019-07-09,BLR,http://www.icetrade.by/tenders/all/view/723910,,
2019-724217,"ОАО ""Беларуськалий""",Закупка запасных частей для установок термической резки CM-DD-2H,0,2019-06-28,BLR,http://www.icetrade.by/tenders/all/view/724217,,
2019-724010,"Государственное природоохранное учреждение ""Национальный парк ""Припятский""",деревообрабатывающий станок,100 000,2019-07-09,BLR,http://www.icetrade.by/tenders/all/view/724010,,
2019-723605,"ОАО ""Могилевский мясокомбинат""","Снос ограждения и здания птицеоткормочного цеха №2 по проспекту Димитрова, 11 в г. Могилеве",50 000,2019-06-26,BLR,http://www.icetrade.by/tenders/all/view/723605,,
2019-724323,ДОСААФ,Закупка парашютных страхующих страхующих приборов (ППК-У-405),107 000,2019-07-15,BLR,http://www.icetrade.by/tenders/all/view/724323,,
2019-723705,Транспортная инспекция Минтранса,Почтовый сервер (программное обеспечение),12 000,2019-07-09,BLR,http://www.icetrade.by/tenders/all/view/723705,,
2019-724427,"Унитарное городское предприятие ""Трест ""Гродногорстрой""","закупка мебели,ЭВМ, огнетушители",7 455.18,2019-06-26,BLR,http://www.icetrade.by/tenders/all/view/724427,,
2019-724102,10-я городская клиническая больница,Расходные материалы для лабораторной диагностики,0,2019-06-29,BLR,http://www.icetrade.by/tenders/all/view/724102,,
2019-723806,"ГО ""Белводхоз""",Выбор генподрядной организации для реконструкции мелиоративных систем в Витебской области,3 131 940,2019-07-19,BLR,http://www.icetrade.by/tenders/all/view/723806,,
